movieskey,moviename,comment,award1,award2,award3,counted,voteforme,deathtype,deathcount,deathcomment,disputes
1137,Halloween VI: The Curse of Michael Myers,,,,,,,,12,12,0
1138,Wishmaster 3: Beyond the Gates of Hell,,,,,,,,8,8,0
1139,"Little Bit of Heaven, A Little Bit of Heaven",,,,,,,,1,1,0
1140,50/50,,,,,,,,1,1,0
1141,Village of the Damned,,,,,,,,4063,"4,054 people, 8 creepy alien kids and 1 stillborn alien baby",0
1142,Halloween H2O: 20 Years Later,,,,,,,,7,7,0
1143,Halloween: Resurrection,,,,,,,,10,10,0
1144,Kiss Kiss Bang Bang,,,,,,,,12,12,0
1145,Strangeland,,,,,,,,3,3,0
1146,Pact,,,,,,,,3,3,0
1147,Species,,,,,,,,19,"14 people , 2 rats, 1 alien life form and 2 alien-human hybrids",0
1148,Species II,<br /> (She'll never eat Space Flakes again.),,,,,,,44,"23 people, 20 alien babies and 1 alien-human hybrid",0
1149,Species III,,,,,,,,12,"7 people,1 cat, 1 alien-human hybrid and 3 half-breeds",0
1151,Godzilla (1998),,,,,,,,393,"173 people, 219 Godzilla babies and Godzilla",0
1152,Birdemic: Shock and Terror,,<br />&#9733;Worst Everything - 2012&#9733;,,,,,,45,"14 people, 30 birds and 1 fish",0
1153,The Other Guys,,,,,,,,6,6,0
1154,The Missing,,,,,,,,28,"25 people, a deer and 2 horses",0
1155,The Stepfather (1987),,<br />&#9733;Worst Sweaters - 2012&#9733;,,,,,,3,3,0
1156,The Stepfather (2009),,,,,,,,4,4,0
1157,Green Lantern,,,,,,,,30,29 and Parallax,0
1158,Valkyrie,,,,,,,,2015,2014 and a mosquito,0
1159,Freeway Killer,,,,,,,,7,7,0
1160,Unknown,,,,,,,,10,9 people and 2 taxis,0
1161,The Mechanic,,,,,,,,29,29,0
1162,Shooter,,,,,,,,56,55 people and a dog,0
1163,The Taking of Pelham One Two Three,,,,,,,,5,5,0
1164,My Little Eye,,,,,,,,5,5,0
1165,Season of the Witch,,,,,,,,1171,"1,140 people, 12 wolves, 18 zombie monks and 1 demon",0
1166,Wishmaster 4: The Prophecy Fulfilled,"<br />(""That's like the plastic-est sword I ever saw in my life!"" Also, John Benjamin Martin is fired for bad writing.)",,,,,,,8,7 and the Djinn,0
1167,The Jackal,,,,,,,,18,18,0
1168,Sherlock Holmes: A Game of Shadows,,,,,,,,36,36,0
1169,Bronx Tale,,,,,,,,6,6,0
1170,Freedom Writers,,,,,,,,3,3,0
1171,Gosford Park,,,,,,,,17,1 person and 16 birds,0
1172,Daydream Nation,,,,,,,,4,4,0
1173,Like Water for Chocolate,,,,,,,,9,8 and a baby,0
1174,Cop Land,,,,,,,,8,8,0
1175,Messages Deleted,,,,,,,,6,6,0
1176,Hellbent,,,,,,,,5,5,0
1177,Children of the Corn,,,,,,,,23,22 and a dog,0
1178,Chrystal,,,,,,,,3,2 and a dog,0
1179,Vile,,,,,,,,9,8 and a fetus,0
1180,Bachelor Party in the Bungalow of the Damned,,,,,,,,6,"2 people, 3 awful vampire chicks and 1 crappy male vampire",0
1181,Sutures,,,,,,,,16,16,0
1182,Pirates of the Caribbean: On Stranger Tides,,,,,,,,63,"56 people, 2 mermaids, 3 poisonous toads and 2 zombie pirates",0
1183,Sister My Sister,,,,,,,,2,2,0
1184,The Fish Child,,,,,,,,5,3 people and 2 dogs,0
1185,The Santa Clause,,,,,,,,1,1 Santa,0
1186,The Little Girl Who Lives Down the Lane,,,,,,,,3,2 people and a hamster,0
1187,Amityville II: The Possession,,,,,,,,5,5,0
1188,The Hole,,,,,,,,4,4,0
1189,Charade,,,,,,,,4,4,0
1190,The Andromeda Strain,,,,,,,,13,"3 people, 6 birds, 3 rats and a monkey",0
1191,New Year's Evil,,,,,,,,7,7,0
1192,Jonah Hex,,,,,,,,482,482,0
1193,Dorian Gray,,,,,,,,5,4 and 1 maggot,0
1194,The Way of the Gun,,,,,,,,16,16,0
1195,Push,,,,,,,,40,27 people and 13 fish,0
1196,Paycheck,,,,,,,,6,6,0
1197,X-Men: First Class,,,,,,,,64,62 people and 2 mutants,0
1198,Bless the Child,,,,,,,,6,6,0
1199,Killer Joe,,,,,,,,2,2,0
1200,Bourne Legacy,,,,,,,,19,"16 people, a wolf, a fox and an elk",0
1201,Blessed,,,,,,,,6,5 and a fetus,0
1235,Following,,,,,,,,2,2,0
1202,Death Wish 4: The Crackdown,"<br /> (""That's cause you eat like a damn whore!"")",,,,,,,43,43,0
1203,In Bruges,,,,,,,,5,5,0
1204,The Last Lovecraft: Relic of Cthulhu,,,,,,,,29,"17 people, 1 merman, 2 deep sea creature pets, 1 half-breed, 1 star slayer scream dude, 5 elder things and 2 dinosaurs",0
1205,The Afflicted,,,,,,,,6,6,0
1206,My Year Without Sex,,,,,,,,1,1 fish,0
1207,Madhouse,,,,,,,,1,1 snake,0
1208,Blubberella,,,,,,,,31,23 people and 8 vampires,0
1209,Tucker & Dale vs. Evil,,,,,,,,14,14,0
1210,Die You Zombie Bastards!,<br />(They fail geography!),,,,,,,35,"6 people, 14 zombies, 3 ninjas, 3 robots, 2 disobedient dogmen, 3 mosquito warlords, 1 fly, amphibian guy, Nefarious and Vlad the Impaler",0
1211,"Filth to Ashes, Flesh to Dust",,,,,,,,10,10,0
1212,The Butchers,,,,,,,,12,3 people and 9 chickens,0
1213,The Ledge,,,,,,,,1,1,0
1214,Mansfield Park,,,,,,,,1,1,0
1215,Taken 2,,,,,,,,26,26,0
1216,Butchered,,,,,,,,11,10 and a dog,0
1217,Edge of Sanity,,,,,,,,6,6,0
1218,Grim Reaper,,,,,,,,7,7,0
1219,The Dentist,,,,,,,,4,3 and a dog,0
1220,The Tall Man,,,,,,,,1,1,0
1221,Skipped Parts,,,,,,,,1,1 fetus,0
1222,Shooters,,,,,,,,9,9,0
1224,Sheltered,,,,,,,,10,10,0
1225,Hollow Man,,<br />&#9733;Best Opening Title Sequence - 2013&#9733;,,,,,,9,"6 people, a rat, a fly and a dog",0
1226,The Curve,,,,,,,,2,2,0
1227,Hollywoodland,,,,,,,,2,2,0
1228,Kate's Addiction,,,,,,,,4,4,0
1229,From Paris with Love,,,,,,,,48,48,0
1230,"Blood, Guts, Bullets and Octane",,,,,,,,13,13,0
1231,Total Recall (2012),,,,,,,,50201,"195 people, 50,006 synthetic police",0
1232,Hollow Man 2,,,,,,,,11,11,0
1233,Winter's Bone,,,,,,,,4,4 squirrels,0
1234,Eve's Bayou,,,,,,,,4,4 and 0 motherfuckers,0
1236,Bloodsport,,,,,,,,2,2 bodies and Van Damme gave us 10 full horizontal splits,0
1237,Collateral,,,,,,,,15,15,0
1238,Pandorum,,,,,,,,2176,"2,174 and 2 grasshoppers",0
1240,Raising Arizona,,,,,,,,1,1,0
1241,Cat People,"<br />(a.k.a. Panther Incest - with a renegade zookeeper who plays by his own rules and has questionable taste in women. Also, nipple knuckles!)",,,,,,,5,"3, a bunny, and a panther-person",0
1242,Bad Ass,,,,,,,,4,4,0
1243,Beneath the Dark,,,,,,,,4,4,0
1244,Deadfall Trail,"<br />(aka Dickfall Trail. ""Are they gonna have a Brokeback threesome?"")",,,,,,,8,"2 people, a beetle, 2 mealworms, 2 rabbits and an unknown bug",0
1245,Mr. Hush,,<br />&#9733;Shakiest Camera Work - 2013&#9733;,,,,,,5,4 and a vampire,0
1246,Mary Horror,,,,,,,,16,16 and an eyeball,0
1247,An American Werewolf in London,,,,,,,,14,12 and 2 werewolves,0
1248,Judge Dredd,,,,,,,,231,231 and an ABC robot,0
1249,Extremely Loud & Incredibly Close,,,,,,,,2763,"2,763",0
1250,Hot Shots!,,,,,,,,12,12,0
1251,The Imaginarium of Doctor Parnassus,,,,,,,,9,"6, 2 flies and a chicken",0
1252,Aqua Teen Hunger Force Colon Movie Film for Theaters,,,,,,,,17,"2 people, 2 cats, 9 chocolate unicorns, 1 fly, 1 Insanoflex, 1 caterpillar and Chicken Bittle",0
1253,Water for Elephants,,,,,,,,6,5 and a horse,0
1254,The Dead One (El Muerto),,,,,,,,3,3,0
1255,Hide and Creep,,<br />&#9733;Worst Zombie Movie - 2013&#9733;,,,,,,25,8 people and 17 zombies,0
1256,Spawn,,<br />&#9733;Worst Credits - 2013&#9733;,,,,,,62,"39, 20 maggots, 2 worms and 1 Violator",0
1257,Wonder Woman,,,,,,,,96,"85, 2 fire breathing dragon dogs, 1 cyclops, 1 pegasus, 1 minotaur, 1 rat, 3 gargoyles, Deimos & Ares",0
1258,Melancholia,,,,,,,,7021836029,"7,021,836,029",0
1259,Barb Wire,,,,,,,,31,31,0
1260,Spaceballs,,,,,,,,19,19,0
1261,The Best Exotic Marigold Hotel,,,,,,,,1,1,0
1262,Kinsey,,,,,,,,1,1,0
1263,Take Me Home,,,,,,,,1,1,0
1264,Blade II,,,,,,,,239,"34 people, 23 vampires, 86 reapers and 96 reaper fetuses",0
1265,Blade: Trinity,,,,,,,,254,"195 people, 55 vampires, 3 vampire dogs and Dracula",0
1266,The Baytown Outlaws,,,,,,,,44,44,0
1267,Skyfall,,,,,,,,50,50 and 2 bitches banged,0
1268,Amityville Haunting,,"<br />&#9733;Worst Death Scene - 2013, awarded to Jason Williams&#9733;",,,,,,12,12,0
1269,Grace,,,,,,,,53,"3 people, 2 rats and 48 flies",0
1270,Bitten,,,,,,,,7,"4 people, 2 vampires and a cat",0
1271,Before the Devil Knows You're Dead,,,,,,,,6,6,0
1272,Hot Shots! Part Deux,,,,,,,,317,"315 people, a dog and a chicken",0
1273,Superman,,,,,,,,2000000004,4 and the planet Krypton,0
1274,Spider-Man,,,,,,,,19,19,0
1275,Spider-Man 2,,,,,,,,5,4 and Doc Ock,0
1276,X2,,,,,,,,33,31 and 2 mutants,0
1277,Harry Potter and the Sorcerer's Stone,,,,,,,,3,2 and a unicorn,0
1278,Pain & Gain,,,,,,,,2,2,0
1279,Rampage,,,,,,,,70,70,0
1280,17 Girls,,,,,,,,1,1 fetus,0
1281,Silent House,,,,,,,,1,1,0
1282,Spider-Man 3,,,,,,,,3,2 and the Venom Symbiote,0
1283,Fantastic Four,,,,,,,,4,4,0
1284,Fantastic Four: Rise of the Silver Surfer,,,,,,,,2,2,0
1285,Daredevil,,,,,,,,11,10 and a fly,0
1286,Uncertainty,,,,,,,,1,1,0
1287,Fierce People,,,,,,,,1,1,0
1288,The Shining,,,,,,,,5,5,0
1289,Elektra,,,,,,,,22,22,0
1290,Cabin Fever,,,,,,,,19,"16 people, a pig, a dog and a deer",0
1291,Supergirl,,,,,,,,1,1,0
1292,Moonrise Kingdom,,,,,,,,2,1 dog and 1 fish,0
1293,Pig Hunt,,,,,,,,22,"16 people, a dog, a horse, a snake, a deer, a hog and The Ripper (a 3,000 lb hog)",0
1294,Catwoman,,</br>&#9733;Worst Costume Design - 2013&#9733;,</br>&#9733;Worst Soundtrack - 2013&#9733;,,,,,3,3,0
1295,Captain America: The First Avenger,,,,,,,,105,105,0
1296,Superman II,,,,,,,,10,9 and a snake,0
1373,DeadHeads,,,,,,,,32,18 people and 14 zombies,0
1297,Incredible Hulk Returns,,,,,,,,2,2,0
1298,Trial of the Incredible Hulk,,,,,,,,2,2,0
1299,Death of the Incredible Hulk,,,,,,,,5,4 and the Incredible Hulk,0
1300,The Incredibles,,,,,,,,24,"17, 5 bugs and 2 Omnidroid robots",0
1301,The Hangover Part III,,,,,,,,9,"4 people, 2 chickens, 2 dogs and a giraffe",0
1302,Black Water,,,,,,,,7,"3 people, 1 fetus, 2 bugs and a crocodile",0
1303,Day After Tomorrow,,,,,,,,2500500000,Most of the Northern Hemisphere,0
1304,Fast Five,,,,,,,,35,35,0
1305,Jesus Henry Christ,,,,,,,,5,5,0
1306,Shiver,,,,,,,,8,7 and a sheep,0
1307,Slaughtered,,,,,,,,10,10,0
1308,The Darjeeling Limited,,,,,,,,1,1,0
1309,Return to Paradise,,,,,,,,1,1,0
1310,The Immaculate Conception of Little Dizzle,,,,,,,,4,4 blue butt fish babies,0
1311,Truth or Die,,,,,,,,7,7,0
1312,Frogs,,,,,,,,9,"7 people, 1 snake and an alligator",0
1313,Tank Girl,,,,,,,,95,"93 people, 1 Ripper and a yak",0
1314,Dark House,,,,,,,,20,20,0
1315,The Big White,,,,,,,,1,1,0
1316,Dodgeball: A True Underdog Story,,,,,,,,1,1,0
1317,Bad Kids Go to Hell,,,,,,,,7,6 and a bug,0
1318,Hunger,,,,,,,,7,7,0
1319,Albino Alligator,,,,,,,,8,8,0
1320,Superman III,,,,,,,,1,1 self aware supercomputer,0
1321,The Longest Yard,,,,,,,,2,1 and a Bentley,0
1322,Love and a .45,,,,,,,,13,8 and 5 bugs,0
1323,Bad Girl Island,,,,,,,,4,4,0
1324,The Dark Knight Rises,,,,,,,,112,111 plus Bane,0
1325,Intermedio,,,,,,,,11,9 and 2 chickens,0
1326,Butter (2011),,,,,,,,2,2,0
1327,The Tortured,,,,,,,,2,2,0
1328,The House of the Devil,,,,,,,,3,3,0
1329,Gone,,,,,,,,1,1,0
1330,The Perfect Family,,,,,,,,1,1 fetus,0
1331,From Dusk Till Dawn 2: Texas Blood Money,,,,,,,,43,37 people and 6 vampires,0
1332,Ned Kelly,,,,,,,,37,"31 people, 2 horses, 2 boar, a monkey and a lion",0
1333,Monkey Shines,,,,,,,,6,"4 people, a bird and a monkey",0
1334,The Woman,,,,,,,,6,"4 people, a wolf and a fish",0
1335,Someone's Knocking at the Door,,,,,,,,4,4,0
1336,From Dusk Till Dawn 3: The Hangman's Daughter,,,,,,,,54,"35 people, 18 vampires and a horse",0
1337,Joe + Belle,,,,,,,,1,1,0
1338,Straight A's,,,,,,,,1,1,0
1339,All Good Things,,,,,,,,4,"2 people, a fetus and a dog",0
1340,House at the End of the Street,,,,,,,,5,5,0
1341,Snow White: A Tale of Terror,,,,,,,,13,"8 people, 1 stillborn baby, 1 horse, 1 pig, 1 bird and a crow",0
1342,Sweet Karma,,,,,,,,9,9,0
1343,Scarecrows,,,,,,,,6,6,0
1344,Little Birds,,,,,,,,1,1,0
1345,The Puffy Chair,,,,,,,,1,1 puffy chair,0
1347,Shriek If You Know What I Did Last Friday the 13th,,,,,,,,15,13 people and 2 bugs,0
1348,Cult of the Damned,,,,,,,,2,2,0
1349,360,,,,,,,,2,2,0
1350,I Am Omega,,<br />&#9733;Worst Sound Effects - 2013&#9733;,,,,,,103,"3 people, 31 mutant creatures and a hive",0
1351,The Karate Kid (2010),,,,,,,,1,1 fly,0
1352,Superman IV: The Quest for Peace,,,,,,,,1,Nuclear Man,0
1353,Detention,,,,,,,,9,9,0
1354,Dark Shadows,,,,,,,,23,"21 people, a witch and a dog",0
1355,True Lies,,,,,,,,87,87,0
1356,Big Money Rustlas,,,,,,,,10,9 and a bird,0
1357,Manic,,,,,,,,1,1,0
1358,Virginia,,,,,,,,1,1,0
1359,Death Racers,,,,,,,,46,45 and Metal Man ,0
1360,Ed and His Dead Mother,,,,,,,,22,2 people and 20 bugs,0
1361,Your Highness,,,,,,,,26,"22 people, a pixie, a minotaur, mother witch and Leezar",0
1362,"New York, I Love You",,,,,,,,1,1,0
1363,Hannah Free,,,,,,,,1,1,0
1364,Scott Pilgrim vs. The World,,,,,,,,26,26,0
1365,Penny Dreadful,,,,,,,,5,5,0
1366,Branded,,,,,,,,3,2 people and a red cow,0
1367,Meeting Evil,,,,,,,,18,18 people and 1 motherfucker,0
1368,Lethal Weapon,,,,,,,,28,28,0
1369,Lethal Weapon 2,,,,,,,,28,28,0
1370,Blood Slaughter Massacre,,,,,,,,42,42,0
1371,The Box,,,,,,,,8,8,0
1372,Ted Bundy,,,,,,,,18,18,0
1374,Hick,,,,,,,,3,3,0
1375,Face/Off,,,,,,,,46,46,0
1376,Cool World,,,,,,,,1,1,0
1377,Cool and the Crazy,,,,,,,,1,1,0
1378,Pieces,,,,,,,,7,7,0
1379,Nine Dead,,,,,,,,10,10,0
1518,Static (a.k.a. Glitch),,,,,,,,4,4,0
1380,Scarface (1932),,,,,,,,30,30,0
1381,Elizabeth,,,,,,,,482,482,0
1382,Elizabeth: The Golden Age,,,,,,,,704,704,0
1383,"Haunted House, A Haunted House",,,,,,,,2,1 and a dog,0
1384,The Lincoln Lawyer,,,,,,,,2,1 and a dog,0
1385,Kick-Ass 2,,,,,,,,26,26,0
1386,John Dies at the End,,,,,,,,10018,"13, a fly, a dog, 3 space slugs and a swarm of white parasite things",0
1388,The Lorax,,,,,,,,1,1 firefly,0
1389,Nature Calls,,,,,,,,1,1,0
1390,Looper,,,,,,,,50,50,0
1391,Brotherhood of Murder,,,,,,,,3,3,0
1392,The Magician ,,,,,,,,2,2,0
1393,The Conjuring,,,,,,,,7,1 dog and 6 birds,0
1394,The Help,,,,,,,,3,"1 person, 1 fetus and a chicken",0
1395,The Deer Hunter,,,,,,,,36,34 and 2 deer,0
1396,The Expendables 2,,,,,,,,417,417 (203 before the title),0
1397,Jack Reacher,,,,,,,,18,18,0
1398,Jacob,,,,,,,,15,"13, a cat and a raccoon",0
1399,We're the Millers,,,,,,,,1,1 shark,0
1400,What to Expect When You're Expecting,,,,,,,,1,1 fetus,0
1401,Dredd,,,,,,,,87,87,0
1402,Radioland Murders,,,,,,,,7,7,0
1403,The Conspirator,,,,,,,,6,6,0
1404,Shark Night,,,,,,,,11,9 people and 2 sharks,0
1405,Down to the Bone,,,,,,,,1,1 mouse,0
1406,The Next Karate Kid,,,,,,,,1,1 spider,0
1407,Kickboxer,,<br />&#9733;Best Worst Soundtrack - 2013&#9733;,,,,,,3,3,0
1408,"Death Proof, Grindhouse",,,,,,,,6,6,0
1409,"Planet Terror, Grindhouse",,,,,,,,169,"32 people, 136 infected and a dog",0
1410,"O Brother, Where Art Thou?",,,,,,,,14,"7 people, a chicken, 2 gophers, 2 cows, a toad and a dog",0
1411,Argo,,,,,,,,1,1,0
1412,Budz House,,,,,,,,1,1,0
1413,Vanity Fair,,,,,,,,13302,2 and the Battle of Waterloo,0
1414,Puncture,,,,,,,,2,2,0
1415,Animal Room,,,,,,,,4,3 and a bunny,0
1416,"Mission: Impossible, Mission Impossible",,,,,,,,38,"7 people, a rat and 30 fish",0
1417,Confessions of a Dangerous Mind,,,,,,,,13,13,0
1418,The Last Godfather,,,,,,,,4,4,0
1419,Toast,,,,,,,,2,2,0
1420,Wake the Witch,,,,,,,,2,2,0
1421,Road Kill,,,,,,,,4,4,0
1422,Armageddon,,,,,,,,434119870,"2,405,324 people and 431,714,546 dinosaurs",0
1423,Slave,,,,,,,,12,12,0
1424,Assault of the Sasquatch,,,,,,,,16,"14, a bear and a dog",0
1425,The Cold Light of Day,,,,,,,,19,19,0
1426,My Own Private Idaho,,,,,,,,2,2,0
1427,Acts of Worship,,,,,,,,1,1,0
1428,White Irish Drinkers,,,,,,,,1,1,0
1429,Feeding Grounds,,,,,,,,9,9,0
1430,House of Fears,,,,,,,,9,9,0
1431,Halloween: Dia de Muertos,,,,,,,,7,7,0
1432,Bikini Girls on Ice,,,,,,,,12,11 and a dog,0
1433,Megan is Missing,,,,,,,,1,1,0
1434,Igby Goes Down,,,,,,,,1,1,0
1435,Slither,,,,,,,,201,"97 people, 77 alien slugs, 11 dogs, 8 cats, 3 coyotes, 2 cows, a mare, a possum and a deer",0
1436,Delhi Belly,,,,,,,,6,6,0
1437,Clue,,,,,,,,7,7,0
1438,Mad Max 2: The Road Warrior,,,,,,,,42,"39 people, a rabbit, a snake and a dog",0
1439,Road Trip: Beer Pong,,,,,,,,1,1 boar,0
1440,The Great Muppet Caper,,,,,,,,1,1 fly,0
1441,Mad Max Beyond Thunderdome,,,,,,,,8,7 and a horse,0
1442,Killer Elite,,,,,,,,17,17,0
1443,Krull,,,,,,,,44,"42 people, a cyclops and a beast",0
1444,The Perks of Being a Wallflower,,,,,,,,1,1,0
1445,Do the Right Thing,,,,,,,,1,1,0
1447,Pleasures of the Damned,,,,,,,,17,14 people and 3 zombies,0
1448,The Great Gatsby (2013),,,,,,,,3,3,0
1449,Belly,,,,,,,,20,20,0
1450,Derailed,,,,,,,,13,13,0
1451,Home Sweet Home,,,,,,,,9,9,0
1452,Crazy Eyes,,,,,,,,1,1,0
1453,The United States of Leland,,,,,,,,1,1,0
1454,The Frighteners,,,,,,,,21,20 and a fly,0
1455,The Dark Crystal,,,,,,,,7,"2 Skeksis, 2 Mystic, 2 Landstriders and a crawly",0
1456,Mask Maker,,,,,,,,12,11 and a baby,0
1457,Bourne Identity,,,,,,,,9,8 and a dog,0
1458,Choke,,,,,,,,1,1,0
1459,Explicit Ills,,,,,,,,1,1,0
1460,Bourne Supremacy,,,,,,,,9,9,0
1461,Harry Potter and the Chamber of Secrets,,,,,,,,8,"1 snake, 1 basilisk and some mandrake roots",0
1462,Harry Potter and the Prisoner of Azkaban,,,,,,,,4,2 birds and 2 bats,0
1463,Zulu,,,,,,,,372,"369 people, a cheetah, a gazelle and a cow",0
1464,Infamous (2006),,,,,,,,6,6,0
1465,Paranormal Activity 4,,,,,,,,2,2,0
1466,American Zombie,,,,,,,,2,2,0
1467,Apollo 18,,,,,,,,4,3 astronauts and a spider moon rock,0
1468,Scanners,,,,,,,,20,20,0
1469,Don't Be Afraid of the Dark,,,,,,,,3,1 and 2 evil ass fairies,0
1470,$5 a Day,,,,,,,,1,1,0
1471,The Extra Man,,,,,,,,1,1,0
1472,Carrie,,,,,,,,135,134 and a pig,0
1474,"Cadaver Christmas, A Cadaver Christmas",,,,,,,,24,23 zombies and Sam the ex-cop,0
1475,The Lifeguard,,,,,,,,1,1,0
1476,"Perfect Ending, A Perfect Ending",,,,,,,,1,1,0
1478,Body Count,,,,,,,,7,7,0
1479,Iron Man 3,,,,,,,,62,62 people and 1 exploding plant,0
1480,Seven Psychopaths,,,,,,,,14,14,0
1481,Diggers,,,,,,,,1,1,0
1482,The Odd Life of Timothy Green,,,,,,,,1,1,0
1483,Chernobyl Diaries,,,,,,,,6,6,0
1484,Olympus Has Fallen,,,,,,,,223,222 and a dog,0
1485,The Hobbit: An Unexpected Journey,,,,,,,,308,"13 men, 55 dwarves, 33 orcs, 3 trolls, a stone-giant, 185 goblins, the Goblin King, 16 wargs and a snail",0
1486,It's a Disaster,,,,,,,,2,2,0
1487,Jolene,,,,,,,,2,2,0
1488,Killing Season,,,,,,,,8,8,0
1489,Thumbelina,,,,,,,,2,1 fly and 1 frog,0
1490,American Hustle,,,,,,,,1,1,0
1491,Weirdsville,,,,,,,,6,5 and a rat,0
1492,The Butcher (2007),,<br />&#9733;Worst Husband- 2014&#9733;,,,,,,4,4,0
1493,The Woman in Black,,,,,,,,8,8,0
1494,Maniac (2012),,,,,,,,8,8,0
1496,Sinister,,,,,,,,4,3 and a scorpion,0
1497,The Heat,,,,,,,,5,5,0
1498,The Tale of Sweeney Todd,,,,,,,,4,4,0
1499,Meet Bill,,,,,,,,1,1 duck,0
1500,Cannibal Holocaust,"<br />(#<a href=""/images/1500.jpg"" target=""_blank"">1500</a>!)",,,,,,,17,"10 natives, 1 soldier, 3 bugs, 2 fish and a muskrat",0
1501,High School Hellcats,,,,,,,,2,2,0
1502,Broken City,,,,,,,,2,2,0
1503,Redemption,,,,,,,,10,10,0
1504,The Legend is Born: Ip Man,,,,,,,,6,5 and an unborn child,0
1505,The Lady Vanishes,,,,,,,,6,6,0
1506,Thelma & Louise,,,,,,,,1,1,0
1507,The Details,,,,,,,,4,"1, a fetus, a cat and a racoon",0
1508,Office Space,,,,,,,,2,1 and a fish,0
1509,The Place Beyond the Pines,,,,,,,,1,1,0
1510,The Rescuers Down Under,,,,,,,,1,1,0
1511,Sunshine Cleaning,,,,,,,,2,2,0
1512,Sheriff Tom vs. the Zombies,,,,,,,,66,17 people and 49 zombies,0
1513,Burke & Hare,,,,,,,,22,18 and 4 horses,0
1515,Stash House,,,,,,,,7,6 and a raccoon,0
1516,Little Boy Blue,,,,,,,,5,5,0
1517,Legends of the Fall,,,,,,,,8765,"8,763 people, 1 cow and 1 unidentified animal",0
1519,The Talented Mr Ripley,,,,,,,,5,4 and an unborn child,0
1521,King of New York,,,,,,,,29,29,0
1522,ParaNorman,,,,,,,,2,1 and a fly,0
1523,Veronica Mars,,,,,,,,2,2,0
1524,The Watch,,,,,,,,117,"4 people, a cow, and 112 aliens",0
1525,The Butcher (2009),,<br />&#9733;Worst Screenplay - 2014&#9733;,<br />&#9733;Worst Music- 2014&#9733;,,,,,35,35,0
1526,The Last House on the Left,,,,,,,,6,6,0
1527,Maniac (1980),,,,,,,,6,6,0
1528,Rosemary's Baby,,,,,,,,2,2,0
1529,Snitch,,,,,,,,16,16,0
1530,Hansel & Gretel Get Baked,,,,,,,,8,6 people and 2 zombies,0
1531,Punk Rock Holocaust,,,,,,,,2289,"2,288 people and a robot",0
1532,Alyce Kills,,,,,,,,6,6,0
1533,Boarding Gate,,,,,,,,3,3,0
1534,Seeking a Friend for the End of the World,,,,,,,,3,3,0
1535,Transformers: Dark of the Moon,,,,,,,,129069,"129,017 people, 34 Decepticons, 7 Autobots, 10 more robots and a bird",0
1536,The Seasoning House,,,,,,,,17,17,0
1537,Lee Daniels' The Butler,,,,,,,,6,6,0
1538,Elysium,,,,,,,,69,69,0
1539,Harry Potter and the Goblet of Fire,,,,,,,,4,3 and a bug,0
1540,Gravity,,,,,,,,4,4,0
1541,The Grand Budapest Hotel,,,,,,,,12,11 and a cat,0
1542,Mother's Day (2010),,,,,,,,11,11,0
1543,Fargo,,,,,,,,7,7,0
1544,Tuesdays with Morrie,,,,,,,,1,1,0
1545,The Purge,,,,,,,,19,19,0
1546,Street Trash,,,,,,,,13,13,0
1547,Snow White and the Huntsman,,,,,,,,66,"63, a dwarf, a horse and the Evil Queen",0
1548,The Witches,,,,,,,,5,"2 people, 2 witches and the Grand High Witch",0
1549,Bad Lieutenant,,,,,,,,1,1,0
1550,G.I. Jane,,,,,,,,15,15,0
1551,Assault on Precinct 13 (2005),,,,,,,,22,22,0
1552,Don't Tell Mom the Babysitter's Dead,,,,,,,,1,1,0
1553,Clockers,,,,,,,,4,4,0
1554,Django Unchained,,,,,,,,56,"52 people, 4 horses and 5 motherfuckers",0
1555,On the Inside,,,,,,,,8,8,0
1556,Amityville: A New Generation,,,,,,,,5,5,0
1557,Would You Rather,,,,,,,,9,9,0
1558,Mud,,,,,,,,5,5,0
1559,Last Kind Words,,,,,,,,4,4,0
1560,R.I.P.D.,,,,,,,,8,8,0
1561,The Counselor,,,,,,,,8,8,0
1562,Fear,,,,,,,,6,5 and a dog,0
1563,"After Fall, Winter",,,,,,,,3,3,0
1564,Stoker,,,,,,,,6,5 and a bird,0
1565,Next,,,,,,,,2,2,0
1566,Flowers in the Attic (2014),,,,,,,,5,"3, a deer and a mouse",0
1567,Code 46,,,,,,,,2,1 and a fetus,0
1568,Harry Potter and the Order of the Phoenix,,,,,,,,1,1,0
1569,Tromeo and Juliet,,<br />&#9733;Best Closing Credits - 2014&#9733;,,,,,,8,7 and a mouse,0
1570,Lucy,,,,,,,,44,"41, a bug, a fish and a gazelle",0
1571,Homefront,,,,,,,,11,11,0
1572,Choose,,,,,,,,6,6,0
1573,Robocop (1987),,,,,,,,140,139 and 1 ED-209,0
1575,Intolerable Cruelty,,,,,,,,2,2,0
1576,Joyride,,,,,,,,2,2,0
1577,Shark Week,"<br />""I already killed your whore.""	",,,,,,,14,10 and 4 sharks,0
1578,Gothic,,,,,,,,100,A plate full of leeches,0
1579,Insidious: Chapter 2,,,,,,,,1,1,0
1580,Red Water,,,,,,,,13,"10, 2 sharks and a fish",0
1581,Novocaine,,,,,,,,2,2,0
1582,48 Hrs.,,,,,,,,8,8,0
1583,Mutant Species,,,,,,,,20,"18, a bug and Walter the mutant",0
1584,The Devil's Carnival,,,,,,,,3,3,0
